username,job_titles,skills
aanshik-upadhyay-0a2bb7116,"[d.s.e,retail associate,sales associate,retail associate]","[social media,research,marketing,leadership,microsoft word,microsoft excel,public speaking,customer service,microsoft office,microsoft powerpoint]"
aaqib-ahmad-b6946bb5,"[senior associate,asic verification engineer,volunteer,sr. manager, global growth,intern]","[vlsi,simulink,cadence virtuoso,digital circuit design,analog circuit design,management consulting,matlab,verilog,system verilog,computer architecture,alteryx,c,data analysis,microsoft excel,microsoft powerpoint]"
aaqib-kirmani-707598114,"[senior analyst - pan india escalations,senior associate - risk management,senior practitioner - crm operations,financial analyst,certified financial consultant,process executive - operations,analyst - pan india escalations (swat, ed quality & social media),senior fulfillment expert (sme)]","[mortgage servicing,banking,mortgage underwriting,mortgage lending,sales management,lean six sigma,pre-sales,sales presentations,vendor management,loan servicing,tax compliance,fssai,risk and compliance,c (programming language),database management system (dbms),negotiation,resiliency,critical thinking,strategic thinking,active listening,emotional intelligence,mental health,c++,team leadership,customer service,microsoft powerpoint,python (programming language)]"
aaqiljamal,[visual designer],"[user interface design,web design,ui/ux,user experience (ux),graphic design,web development,video editing,poster design,page layout,typography,product design,after effects,design systems,visual design]"
aaquib-bhat-56389077,"[corporate summer intern (received ppo),junior software engineer,senior manager,manager,assistant manager,assistant manager]","[business development,key account management,p&l management,sales management,channel strategy development,category management]"
aaquib-javid-940a21125,"[relationship officer,customer experience specialist,head of marketing and sales]","[customer relationship management (crm),marketing strategy,strategic planning,business planning,negotiation,strategy,public relations,event management,team building,sales,research,teamwork,marketing,leadership,microsoft word,market research,microsoft excel,team leadership,team management,customer service,microsoft office,business strategy,business development,microsoft powerpoint]"
aaquibalhossain,"[product @ jio,management trainee (young leader) at bharti airtel,summer intern,product manager,product manager,assistant manager]","[management consulting,product management,strategy,corporate development,venture capital,digital marketing,marketing strategy,analytics,brand management,event management,social media,cloud computing,online marketing,data modeling,financial modeling,investment banking,consumer behavior,consumer products,financial analysis,web 2.0,excel,blockchain,cross-functional team leadership,deep learning,quiz,loyalty programs,non-profit consulting,social business design,marketing research,virtual real,product strategy,corporate venture capital,product road mapping,marketing,leadership,management,market research,microsoft excel,team leadership,team management,business analysis,business strategy]"
aaradhy907,"[recruitment executive,talent acquisition associate,talent acquisition specialist]","[human resources (hr),recruiting,analytical skills,applicant tracking systems,sourcing,communication]"
aaradhya-srivastava,"[sports analyst,music analyst,artist relation manager,analyst,analyst,corporate development,summer intern,chief of staff]","[civil engineering,live broadcast,parliamentary debating,sports analytics,model united nations,finance,event planning,teamwork,data analysis,microsoft excel,public speaking,microsoft office]"
aaraiv-sharma,"[adobe emerge '21 finalist mentee,sde intern,executive committee,data engineering intern,graphic designer,summer engineering intern,software engineer intern]","[algorithms,android development,strategic planning,user experience (ux),global positioning system (gps),telecommunications engineering,software development,user interface design,data science,adobe photoshop,cascading style sheets (css),adobe xd,algorithmic trading,algorithm development,programming languages,c++,html,research,teamwork,leadership,management,data analysis,microsoft word,data structures,microsoft excel,public speaking,business development,microsoft powerpoint,python (programming language)]"
aarchi-patel-519b6046,"[executive and core member ,software engineer ii,software development engineer i,software engineering intern,summer intern]","[java,spring boot,hibernate,hadoop,apache spark,microservices,rest apis]"
aarohi-garg27,"[student ambassador,convener of student chapter,sdet intern,alpha microsoft learn student ambassador,campus lead: scaler achiever club,machine learning intern,full stack web development intern,data analytics intern]","[basic conversation in japanese,preparing for red hat certified system administrator]"
aarohi-kevat-b7730315a,"[lenskart,csa,lenskart]","[retail,inventory management,customer service management,social media,team building,customer service training,retail sales,product knowledge,sales,microsoft excel,public speaking,customer service,microsoft office]"
aaron-george-018380205,"[talent acquisition intern,digital marketing intern,content development trainee]","[digital marketing,scriptwriting,content development]"
aaroushi-mittal-918a80b2,"[digital marketing manager,fashion stylist,creative consultant,photographer and product styling,freelance graphic designer,graphic designer,graphic designer intern,marketing intern,intern as a graphic designer,visual merchandiser intern,lead social media marketing,intern,intern]","[styling,social media marketing,creative strategy,product development,trend analysis,product styling,logo design,adobe illustrator,coral draw,clay modelling,wood carving,fashion styling,braiding,knitting,weaving,ceramic,leatherwork,fashion forecasting,fashion jewelry,wood ,costume jewllery,visual design,facebook marketing,instagram marketing,set design,digital marketing,website building,google ads,teamwork,leadership,microsoft excel,team leadership,microsoft office]"
aarthi-m-053229124,"[associate consultant,programmer analyst,software engineer,senior software engineer]","[ab initio,creative problem solving,database management system (dbms),analytical skills,design patterns,data structures,c,c++,core java,advanced java,html,cascading style sheets (css),javascript,operating systems,c#,qlikview,leadership,reasoning skills,networking,database management systems,qlik sense]"
aarti-balasubramanian-2a968b199,"[indian dance teacher,brand manager,manager- field readiness,area sales executive,senior consultant,executive trainee,senior manager, learning & development,sales training consultant,trainer]","[training needs analysis,consultative selling,instructional design,sales process,curriculum development,dance education,dance instruction,sales,research]"
aarti-bangera-0b6730165,[human resources executive],"[employee relations,human resources,recruitments,payroll processing,training]"
aarti-kain-a00939ab,"[management intern,senior test specialist,test analyst,program associate]","[operations management,test planning,manual testing,functional testing,test execution,it project implementation,microsoft excel,project management]"
aarti-kumari-1152a4209,[brand assistant],[commerce]
aarti-madda-753ba61ab,"[assistant,service account manager]","[adobe photoshop,warehouse management systems,tally erp,microsoft outlook,microsoft excel]"
aarti-sahu-077387142,"[legal executive,deal specialist,assistant legal consultant,intern,assistant manager,advocate]","[legal advice,company law,legal opinions,corporate law,legal contract review]"
aarti-sharma-45ba1b193,"[beauty advisor,sales executives ,sales excutive,beauty advisor]","[record of success,sales consulting,objection handling,telemarketing,target marketing,sales execution,sales]"
aarti-shreedharan-9151b667,"[team lead,senior content associate,senior content associate]","[management,microsoft excel,team management,microsoft office,business strategy,business development]"
aarti-tapdiya,[software development engineer 1],"[c (programming language),algorithms,deep learning,computer vision,machine learning,artificial intelligence (ai),reinforcement learning,c++,data structures]"
aartisusankuruvilla,"[trainee decision scientist,intern,intern,consultant]","[machine learning,natural language processing (nlp),documentation,writing,creative writing,cascading style sheets (css),r (programming language),r shiny,alteryx,c,c++,html,teamwork,microsoft word,microsoft excel,python (programming language)]"
aarushi-agrawal-ba291996,"[hr business partner,manager talent management,human resources summer intern,trainee process associate,human resources business partner]","[powerpoint,english,process improvement,talent management,performance management,manpower planning,sales hr,human resources (hr),recruiting,human resource development,hr strategy,human resource planning,research,teamwork,leadership,data analysis,microsoft word,microsoft excel,microsoft office,microsoft powerpoint]"
aarushi-gupta-59952143,"[senior human resources manager,senior manager-hrbp,pmo-hr,senior executive human resources,human resources summer intern]","[powerpoint,english,teaching,photoshop,human resources,recruiting,employee relations,organizational development,performance management,training,performance appraisal,human resources (hr),research,teamwork,marketing,leadership,management,microsoft word,microsoft excel,public speaking,team management,microsoft office,microsoft powerpoint]"
aarushi-gupta-96a4b918a,[software engineer],"[c (programming language),mongodb,node.js,angularjs,bootstrap,cascading style sheets (css),c++,html,javascript]"
aarushi-jain-61509a75,"[senior executive- recruitment,senior executive,sourcing executive-human resource,sales and marketing intern,hr business partner,hr intern]","[powerpoint,time management,recruiting,client services,employee engagement,sourcing,talent management,technical recruiting,research,teamwork,marketing,management,public speaking,team leadership,team management,microsoft office,business strategy,business development]"
aarushi-mittal-0a467b52,"[associate manager - ad-sales (north),senior ad-sales specialist (north),ad-sales specialist (north),winter intern,kites 2017: summer intern ,business analyst ii,business analyst i ,placement committee representative,hostel representative,senior internee,treasurer (acting secretary), ieee sb - bits pilani, dubai campus,practice school representative, student council,treasurer, ieee sb - bits pilani, dubai campus,customer success manager,summer intern]","[windows,powerpoint,sales management,client relations,new business development,spoken english,client onboarding,customer acquisition,direct sales,digital advertising sales,mobile advertising,advertising sales,client services,account management,team coordination,campaign management,cross-functional coordination,cross-functional communication,negotiation,client rapport,business-to-business (b2b),c,sql,sales,communication,microsoft word,microsoft excel,team management,microsoft office,business strategy,business development]"
aarushiarya,"[strategy and growth intern,director,mechatronics engineer,co-founder,head of logistics,integration lead,global leadership cadre,intern,summer intern]","[go-to-market strategy,international business,business strategy,sensors,logistics management,public relations,project management,research,marketing,digital marketing,brand management,business development,arduino,embedded systems,microsoft office,management,public speaking,leadership,team leadership,team building,plc ladder logic,microsoft powerpoint]"
aaryamann-singh,"[visual artist,design consultant,graphic designer,muralist]","[illustration,graphic design,visual design,digital illustration,print design,sketching,poster design,page layout,typography,book design,digital art,book covers,book illustration,comic book illustration]"
aaryanchowhan,"[product designer,product designer,head - web, design & creative team,ui/ux design intern,industrial design intern,designer,ui/ux design intern,graphics designer,summer research intern,product designer ii]","[graphic design,ui/ux,brand development,design strategy,motion graphics,illustration,web design,user interface design,poster design,social media,editor,video editing,typography,experience design,adobe illustrator,adobe photoshop,adobe premiere pro,adobe after effects,adobe creative suite,after effects,lightroom,digital art,conference speaking,digital art,start-ups,consumer products,aesthetics,interaction design,user experience (ux),design thinking,management,public speaking,team leadership,customer service,microsoft office]"
aarzoo-bansal-b62539105,"[business development executive,market research intern,team leader,sales analyst,summer intern,assistant manager]","[cartoons,prowess,ebsco,teamwork,management,microsoft word,microsoft excel,microsoft office,microsoft powerpoint]"
aarzoo-bhatia,"[digital product intern,sde ii,software development intern,product manager (management trainee),software engineer]","[node.js,postgresql,react.js,javascipt,pl/sql,core java,mongodb,swagger,ruby on rails,aws lambda,solr,redis,rabbitmq,product management,product road mapping,business communications,product marketing,c (programming language),c,c++,sql,html,mysql,data structures,public speaking,team management]"
aasangdixit,"[analytics engineer (machine learning),deputy general manager (product),concessions & andon program,principal product manager,senior analyst,product manager]","[program management,product management,stakeholder management,statistical modeling,machine learning,r,unix,user stories,feature prioritization,product lifecycle management,agile project management,google analytics,sql,leadership]"
aasaqt-agarwal-a88594a4,"[senior android developer,lead android developer,android developer( internship),senior software developer,software developer,software developer]","[.net core,react.js,user experience (ux),user interface design,software development,front-end development,programming,android development,redux.js,mongodb,.net framework,microsoft sql server,vue.js,json,git,javascriptmvc,css,react native,linux,angular 5,angular material,jquery,android,team building,back-end web development,full-stack development,javascript libraries,typescript,c,c++,sql,html,java,mysql,teamwork,javascript,team leadership,team management]"
aasavaridesai,"[hr - talent partner,hr - talent partner,co-founder and coach,hr -talent acquisition specialist,hr (talent acquisition),human resources generalist]","[human resources (hr),recruiting,talent acquisition,screening resumes,screening,maths,sourcing,abacus,communication]"
aashay-sachdeva-020806b7,"[data scientist-ii,data scientist,member of technical staff, data science,data scientist,data science intern,growth hacking intern,intern]","[networking,digital marketing,deep learning,tensorflow,image processing,c++,python,research,leadership,management,microsoft word,data structures,microsoft excel,customer service,microsoft office,project management]"
aasheesh-tiwari-1b14b21b1,"[capacity manager,electrical engineer,assistant manager,field engineer]","[vendor management,engineering,electrical troubleshooting,infrastructure,painting,real estate,data center infrastructure,data center operations,time management,supply chain management,planning,distributed team management,warehouse operations,management,team management,microsoft office]"
aasheesh21,"[senior sales associate,manager - corporate sales,manager lead- sales & business development,intern,assistant manager]","[customer relationship management (crm),pc operation,business relationship management,client relations,team building,sales,management,microsoft excel,team leadership,team management,customer service,microsoft office,business strategy,business development]"
aashi-awasthi-2170b4115,"[99acres,corporate sales manager,zonal sales manager]","[smart working,new business development,direct sales,business-to-business (b2b),sales,business development]"
aashi-jain-1a2536112,"[test engineer,decision science consultant]","[microsoft power bi,advance excel,test automation,software testing,test planning,continuous integration,test cases,regression testing,spreadsheets,agile methodologies,machine learning,selenium,marketing mix modeling,cucumber,testng,selenium webdriver,api testing,sql,mysql,microsoft excel,python (programming language)]"
aashi-upadhyay-0a6775185,"[student trainee,trainee,intern]","[jenkins,docker,public speaking,c,c++,github,bootstrap,javascript,python (programming language),sql,firebase,ansible,r,member of toastmasters]"
aashiaadya,"[trainee decision scientist,decision scientist]","[thoughtspot,tableau,jenkins,c (programming language),transact-sql (t-sql),amazon redshift,hive,apache spark,data engineering,sql,mysql,python,data analysis,microsoft excel,microsoft office,business analysis]"
aashima-rathore-1b2169a3,"[analyst,business intelligence consultant,marketing and sales head,associate growth manager,intern,core member,student representative,core member,sponsor management volunteer,intern,consultant]","[analytical skills,management consulting,consulting,data warehousing,physics,event management,microsoft power bi,tableau,matlab,autocad,microstrategy,teradata,handball,badminton,sql server integration services (ssis),microsoft sql server,transact-sql (t-sql),tableau,excel pivot,c,sql,teamwork,leadership,management,data analysis,microsoft excel,public speaking,team leadership,customer service,microsoft office]"
aashima-sethi-6b10a8190,"[senior copywriter,beauty editor,fashion design intern]","[apparel,fashion design,computer-aided design (cad),styling,copywriting,english,fashion history,adobe photoshop,analytical skills,social selling,fashion writing,web content writing,demand planning,relation building,research,leadership,management,communication,microsoft excel,project management,microsoft powerpoint]"
aashiqbabu,"[product designer,frontend engineer,senior product manager,senior product manager,product manager,software engineer]","[analytics,product management,agile methodologies,product design,user experience (ux),documentation,wireframing,usability testing,balsamiq,stakeholder engagement,product road mapping,product planning,research,team management]"
aashish-budania,"[deputy manager,internship,software engineer ii,software engineer,software engineer]","[machine learning,computer networking,object-oriented programming (oop),database,python,cascading style sheets (css),php,xhtml,ajax,operating systems,bootstrap,core java,php,matlab,deep learning,database management system (dbms),mysqli,c (programming language),mongodb,json,c,c++,sql,html,java,mysql,javascript,data structures,python (programming language)]"
aashish-chhachhi,"[regional manager,assistant professor,senior manager, corporate fx sales,manager/managment associate,summer associate, sales & research desk, global markets,gtm strategy lead,regional head,general manager, hyderabad,graduate engineer trainee, projects,head, growth initiatives]","[p&l management,growth strategy,consulting,b2b sales,e commerce,strategic planning,financial modeling,financial analysis,valuation,mentoring,category management,business innovation,market entry,internet,leadership,team management,business analysis,business strategy,business development]"
aashish-dave-44a9381a,"[cluster hr manager,asst. magar  (hr)]","[employee engagement,hr policies,talent acquisition,employee relations,hris,talent management,performance appraisal,sourcing,performance management,team management,recruiting,personnel management,screening,human resources,technical recruiting,deferred compensation,hr consulting,management,benefits negotiation,mis,recruitments]"
aashish-dixit-79089b4b,"[senior software developer,programmer,associate technical lead,software engineer,senior software engineer,senior software engineer]","[android,mobile applications,agile methodologies,java,json,sqlite,core java,git,rxjava,android studio,flutter,android development,mobile application development,software development life cycle (sdlc),software development,google apps script,qunit,google suite developer,kotlin]"
aashish-goel-166a978b,"[head of engineering,project manager,operations manager,project engineer,asst. project engineer,sr. manager, supply chain,sr. operations manager - ultra fast deliveries,operations manager, fulfillment centers,vice president, supply chain,aut]","[operations management,engineering,product development,fmcg,project planning,supply chain management,cross-functional coordination,manufacturing,team management,project management]"
aashish-gupta-001ba7171,"[category marketing analyst,marketing intern,freelance videographer,marketing team member,marketing and publicity intern,intern]","[content strategy,video production,digital marketing,publicity,video editing,short films,film production,facebook marketing,content marketing,branding,brand awareness,adobe premiere pro,after effects,adobe photoshop,adobe audition,adobe lightroom,instagram marketing,content production,color correction,video color grading,creative content production,google data studio,mysql,marketing,microsoft office,python (programming language)]"
aashish-jaiswal-547346140,"[iot training,web development training,academic counselor]","[web development,html5,php applications,php,cascading style sheets (css),blockchain,internet of things (iot),c,c++,sql,html,java,mysql,research,management,microsoft word,microsoft excel,microsoft powerpoint]"
aashish-jeph-55930b41,"[associate manager,icx,senior product manager,product manager,product manager,product manager,head, business development]","[product management,event management,google analytics,a/b testing,user experience,axure rp,international market analysis,entrepreneurship,engineering,marketing strategy,strategic planning,crm,start-ups,sql,market research,microsoft excel,team management,microsoft office,business strategy,business development]"
aashish-katiyar-60566320,"[ios app developer,ios application developer,technical lead,sr. ios developer]","[objective-c,xcode,sqlite,oop,social media,object-oriented programming (oop),android,iphone,json,core java,jquery,swift,html]"
aashish-kumar-6753b449,"[senior research engineer,lead deep learning engineer,machine learning project,masters report - robust reinforcement learning,graduate teaching assistant,software developer intern,associate engineer,software intern,data scientist,qualcomm innovation lab]","[perl,matlab,machine learning,probability theory,android studio,github,algorithm design,cgal,image processing,signal processing,verilog,deep learning,keras,tensorflow,reinforcement learning,natural language processing (nlp),long short-term memory (lstm),predictive modeling,applied probability,azure data lake,azure databricks,c,c++,sql,html,python,microsoft office]"
aashish-kumar-baliyan-078ab0aa,"[senior technical associate,software developer(.net),software developer traniee,technical team lead]","[asp.net web api,asp.net mvc,c#,microsoft sql server,entity framework,vbscript,xml,git,json,windows,core java,software development,algorithm analysis,xslt,restful webservices,scrum,oauth,iis,visual studio,asp.net,restconsole,postman,c,sql,html,mysql,data structures]"
aashish-motwani-189a33169,"[member,public relations executive,software development intern,software engineer]","[adobe premiere pro,data structures,algorithms,django,python (programming language),html,c++,c (programming language),c#]"
aashish-sachdeva,"[ui engineer,senior frontend developer,graduate engineer trainee,software trainee,software developer,senior software engineer]","[programming,front-end development,web development,software development,ecommerce,scrum,start-ups,web services,computer science,scalability,user experience (ux),responsive web design,css,c#,asp.net,angularjs,bootstrap,html5,node.js,jquery,angular 2,databases,react.js,rest api,mongodb,redux.js,representational state transfer (rest),less (stylesheet language),css flexbox,team motivation,document object model (dom),api development,typescript,progressive web applications (pwas),client side scripting,cascading style sheets (css),problem solving,model-view-controller (mvc),product development,redux thunk,algorithms,c,c++,html,mysql,javascript,leadership,data structures]"
aashish-shrivastava-b48522201,"[warehouse executive,senior warehouse executive,dispatch officer,quality control officer,warehouse executive]","[supply chain management,warehouse management systems,inventory management,warehouse operations,warehouse control,operations management,problem solving,management]"
aashish-singh-16b1b9127,"[team leader,senior manager,customer success manager,senior associate,associate]","[start-ups,strategic planning,customer relationship management (crm),user experience (ux),customer satisfaction,zendesk support,salesforce.com,freshdesk,motivational speaking,customer support,interpersonal skills,customer service operations,customer experience,customer retention,customer-focused service,help desk support,fantasy sports,gaming,social media,research,leadership,management,communication,team leadership,team management,customer service,microsoft office]"
aashish-vyas,"[senior strategy manager,teacher,internship,program manager (ola financial services),program manager (ola cabs),strategy & program manager,intern,intern]","[photoshop,social networking,editing,statistics,teaching,civil engineering,programming,autocad,spss,stakeholder management,telesales,fintech,six sigma,vendor management,problem solving,customer experience,skilled multi-tasker,process improvement,product operations,business process outsourcing (bpo),call center administration,collections management,edtech,program management,financial services,strategy,analytical skills,category management,e-commerce,collections,collection manager,supply chain management,supply chain operations,project planning,strategic planning,sales operations,forecasting,sales,teamwork,leadership,management,microsoft excel,team management,microsoft office,business strategy,project management,business development]"
aashishdewangan,"[decision science analyst,project manager,international exchange student,cine secretary,industrial engineering intern,coverage head,summer research intern,associate product manager,product associate,business analyst]","[advanced excel,renewable energy,data visualization,analytical skills,modeling,financial modeling,pivot tables,statistical data analysis,adobe photoshop,photoshop,problem solving,clean energy technologies,solar cells,query writing,visualization,excel dashboards,research analysis,machine learning,c (programming language),sql,mysql,research,leadership,management,data analysis,microsoft excel,team management,microsoft office,microsoft powerpoint,python (programming language)]"
aashishluthra,"[area sales manager,business development intern,data analyst]","[machine learning,statistical data analysis,data visualization,data mining,data science,hadoop,hiveql,apache sqoop,tableau,pandas,client relations,big data analytics,natural language processing (nlp),apache spark,apache hive,predictive analytics,predictive modeling,data analytics,numpy,scikit-learn,amazon redshift,big data,sql,management,communication,data analysis,microsoft excel,public speaking,python (programming language)]"
aashishnadda,"[assistant sales manager,sales advisor,sales executive,sales executive,summer trainee,summer trainee,team leader]","[powerpoint,mechanical engineering,engineering,video production,video editing,video post-production,youtube,presentation skills,sales process,teamwork,leadership,management,communication,microsoft excel,team management,customer service,microsoft office]"
aashishwashikar,"[head of corporate communications,chief reputation maven,head - media relations,senior engineer,guest artiste,public relations ,head of corporate communications,director:key accounts ]","[social media marketing,media relations,pr using social media,press release development,employee engagement,digital marketing,feature writing,public relations,social media,corporate communications,crm,press releases,blogging,seo,internal communications,feature articles,human resources,event management,service delivery,social networking,program management,editing,change management,content development,integrated marketing,content management,technical writing,networking,customer relationship management (crm),search engine optimization (seo),management,market research,team management,project management]"
aashlay-singla-871956147,"[software development intern,software engineer]","[android development,html,cascading style sheets (css),java,c++,c#,javascript,algorithms,data structures]"
aashmi-kumar,"[assistant brand manager,digital marketing trainee- facebook & google,category manager,assistant manager - offline sales- soultree direct,management trainee,shadow mentee - simran khara ,intern- influencer management ,sponsor manager,summer intern,summer intern]","[e-commerce,key account acquisition & retention,revenue growth generation,business-to-business (b2b),e-commerce operations,beaty and lifestyle,communication,public speaking]"
aashna-singh-bab70413b,"[cs,client servicing executive,cs ,assistant manager - client servicing ]","[client services,event management,event planning,corporate events,e-learning,email clients,back office operations,operations management,customer relationship management (crm),customer satisfaction,customer experience,customer support,customer service management,customer service operations,team management,customer service]"
aashnasabharwal,"[vice president,area sales manager, super ea,actuarial recruitment consultant,talent acquisition specialist]","[recruiting,executive search,client development,financial services,corporate law,law enforcement,litigation,client relations,economic capital,legal recruiting,candidate retention,passive candidate generation,new business development,talent acquisition,candidate generation,headhunting,\,data analysis]"
aashrairavooru,"[engineer,intern,summer intern,software engineer,senior software engineer]","[android development,android,web development,eclipse,node.js,angularjs,git,cascading style sheets (css),json,sqlite,intellij idea,firebase,c,c++,java,python,javascript,microsoft office]"
aashraysingal,"[associate manager,business development specialist,president,lead organizer,marketing and business development intern,social media marketing intern,secretary,co-founder,committee member,community volunteer,analyst - demand partnerships (performance marketing delivery)]","[social media,consultancy,creative writing,c (programming language),writers,versatile writer,leadership,management,microsoft excel,public speaking,project management]"
aashu-gupta-a28611144,"[backend developer,product engineer,data analyst intern,software engineer]","[django,machine learning,postgresql,statistics,marketing strategy,operations management,rest api,machine learning algorithms,programming,object-oriented programming (oop),api development,postman api,c++,mysql,python,management,data analysis,data structures,microsoft excel,microsoft office,project management]"
aashutj,"[software engineer intern,summer research intern,overall co-coordinator, concetto'19 - the annual techno-managment fest of iit (ism) dhanbad,software engineer intern]","[data structures,machine learning,deep learning,object-oriented programming (oop),programming,c++,adobe photoshop,html,cascading style sheets (css),javascript,c,adobe illustrator,microsoft excel,microsoft word,microsoft office,microsoft powerpoint,social media handling,article writing,problem solving,neural networks,supervised learning,c (programming language)]"
aashutosh3838,"[data analyst,head, events and competitions,cultural secretary, hall of residence 3,senator,senior business analyst,business analyst]","[stata,eviews,supply chain management,research,leadership,management,microsoft word,microsoft excel,public speaking,microsoft office,project management,microsoft powerpoint]"
aashwin-kumar-80497351,"[process manager,associate consultant,senior systems engineer,senior global process manager,senior consultant]","[requirements analysis,pl/sql,sql,oracle,business analytics,tableau,spss,r,sas,financial risk management,microsoft excel,c++,analysis,c,business analysis,sales analytics,business strategy,corporate finance,predictive analytics,analytics,data mining,market research,business strategy,management,team management,project management]"
aasma-r-vohra,"[designer,guest trainer and designer ,junior graphic designer,art and copwriting intern,senior beauty onsite executive,team lead,marketing and communications intern]","[content writing,photography,fashion styling,visual merchandising,public relations,web content writing,creative writing,adobe photoshop,graphic design,fashion,adobe illustrator,indesign,social media,advertising,coral draw,social media marketing,art,sketching,graphics,editing,copywriting,blogging,copy editing,writing,online merchandising,content management,vendor management,research,marketing,leadership,microsoft word,microsoft excel,public speaking,customer service,microsoft office,microsoft powerpoint]"
aastha-chaudhary-4687a220,"[risk analyst - supply chain,social media escalation analyst,assistant manager - decision sciences,hr recruiter,counselor,content writer]","[english,teamwork,microsoft excel]"
aastha-gupta-35043013,"[deputy manager - talent acquisition,associate manager - talent acquisition,senior executive talent acquisition,executive - talent acquisition,executive(recruitment/resourcing),associate recruiter,lead - talent acquisition]","[talent acquisition,vendor management,recruiting,employee relations,management,benefits negotiation,crm,team management,technical recruiting,leadership,employee engagement,strategy,salary negotiation,sourcing,screening,human resources,customer relationship management (crm),temporary placement,interviewing,screening resumes]"
aastha-jain-a69565104,"[sales executive,former trainee,marketing intern,patient experience associate,sales consultant]","[sales management,mis advance,marketing,microsoft word,microsoft excel,microsoft office,microsoft powerpoint]"
aastha-shah-b129a5136,"[senior executive - commercial markets,industrial research,marketing and branding,operational excellence ,business development intern,production excellence intern,ceo's office,category manager,assistant category manager]","[real estate transactions,e-commerce knowledge,category management,sales,marketing,leadership,communication,market research,team management,business strategy,business development]"
aasthajn16,"[engineer,sde-3,sde-2,sde-iii,software engineer,senior software engineer]","[android development,programming,core java,android,software development,model-view-viewmodel (mvvm),kotlin coroutines,kotlin,model-view-presenter (mvp),android sdk,android design,android architecture,android studio,android jetpack,sql,html,java,mysql,microsoft excel,microsoft office]"
aasthasethi2618,"[esports show host,producer / brand manager ,sports anchor,content and video production manager ,anchor/host]","[hosting events,on-air hosting,show hosting,on-camera hosting,communication]"
aathimanikandan-c-64468323,"[dy.manager project,planning,enginner,sap consultant]","[engineering,epc,management,manufacturing,energy,sap implementation]"
aathira-mohanan-pillai-a02852142,"[private tutor,q&a expert,ethical hacking,student intern,cloud intern]","[c (programming language),ethical hacking,java,computer science,information technology,computer software,data structures,network security,cybersecurity,python (programming language),microsoft powerpoint,microsoft word,microsoft excel,c++,mysql,html,databases,sql,php,operating systems,windows,linux,kali linux,computer hardware,ubuntu,python,visual studio,microsoft office,leadership,teamwork,team leadership,teaching,team management,networking,database management system (dbms),hacking,burp suite,flexible approach,adaptive learning,self learning,wireshark,metasploit,nmap,sublime text,pycharm,code::blocks,devops,it infrastructure management,software testing,system testing]"
aatif-siddiqui-9056b61b2,[csr],"[commerce,sales & marketing,accounting,customer follow-up,sales strategy,team spirit,identifying new opportunities,customer contact]"
aatish-sharma-b4394b12b,"[planning and procurement intern ,outreach ambassador,research internship,publicity head,publicity coordinator,quality analyst - business operations,workforce management analyst,operations engineer,member at team dirt marshall]","[autocad,catia,vic 2d ,operations management,corporate strategy,english,automotive,engineering,vendor management,procurement,negotiation,time management,research,marketing,leadership,microsoft excel,public speaking,team leadership,team management,microsoft office,business development]"
aatish-singh-b404b890,"[senior manager (sales & marketing),area sales manager,senior territory sales manager,  territory sales manager- expansion,state head- business operations & strategies]","[channel management,channel sales,dealer development,negotiation,aggressive marketing,electric vehicle sales,electric vehicles,btl activations,market analysis,competitive analysis,team building,p&l management,product marketing,sales channel development,mysql,teamwork,microsoft word,microsoft excel,team management,microsoft office]"
aatul-a-54615024,"[director - enterprise sales,head - payment and banking alliances,associate vp & head - payment gateway,regional relationship manager - japan, asia pacific and australia,manager - account development,executive - open (small business network )]","[key account management,business relationship management,strategic planning,cross selling,consultative selling,selling,customer satisfaction,program management,negotiation,customer retention,new business development,strategic partnerships,business development]"
aayesha-majumder-6b56b51a7,"[software engineering analyst,engineer,trainee apprentice leader,trainee]","[sap bods,sap business client 6.5,lsmw,idoc,microsoft sql server,oracle sql developer,hp application lifecycle management,sap hana bw,core java,robotic process automation (rpa),organization skills,executive leadership,technical leadership,team building,r,eda,financial accounting,marketing management,business communications,descriptive and visual analytics,decision sciences,economics,statistics,exploratory data analysis,digital marketing,b2b marketing,cost accounting,operation and supply management,predictive analytics,forecasting,customer lifecycle management,individual and group dynamics,business strategy and industry analysis,corporate finance,pricing & revenue analytics,system dynamics,pricing and revenue management,business strategy and industry analysis,machine learning with r,selling and negotiation skills,data engineering,digitization and competitive strategy,leadership,management,microsoft word,team leadership,team management,project management,microsoft powerpoint,python (programming language)]"
aayu123,"[sde-ii,sde-i,sde iii ,software engineer,software developer,senior software engineer,pcm teacher,project intern]","[react native,flutter,hadoop,big data,shell scripting,machine learning,react hooks,linux,git,jira,cascading style sheets (css),sqlite,mapreduce,xcode,visual studio,jest,react.js,node.js,c (programming language),redux.js,redux thunk,rxjs,lodash.js,android studio,dart,javascript es6 syntax,hummingbird,redux saga,financial markets,equity research,equity research analysis,swift (programming language),c,c++,html,python,javascript,management,microsoft word,data structures,microsoft excel,public speaking,team leadership,customer service,microsoft office]"
aayush-agarwal-53297857,"[graduate engineer trainee,training & placement coordinator,research assistant,senior consultant,consultant,summer intern]","[formulation,analytical skills,training,mathematical modeling,matlab,machine learning,knime,powerpoint,chemical engineering,c,c++,teamwork,leadership,data analysis,microsoft word,microsoft excel,team management,microsoft office,project management,microsoft powerpoint]"
